viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Components/ProgressBar,Segmented,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Segmented,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Sizes,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Sizes,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Types,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Types,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Stages,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,All Stages,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Segmented Stages,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Segmented Stages,dark,aria-progressbar-name,,1200,1200
1200,Components/Pagination,Default,light,,,1200,1200
1200,Components/Pagination,Default,dark,,,1200,1200
1200,Components/Pagination,No Prev Next,light,,,1200,1200
1200,Components/Pagination,No Prev Next,dark,,,1200,1200
1200,Components/Pagination,Few Pages,light,,,1200,1200
1200,Components/Pagination,Few Pages,dark,,,1200,1200
1200,Components/Slider,Default,light,,,1200,1200
1200,Components/Slider,Default,dark,,,1200,1200
